Text	Author	Source
He who dares not offend cannot be honest.	Thomas Paine	
Maturity consists in having rediscovered the seriousness one had as a child at play.	Friedrich Nietzsche	
The young are permantely in a state resembling intoxication.	Aristotle	
If death was the end of all, the wicked would have a good bargain in dying.	Socrates	
The world is changed by your example, not by your opinion.	Paulo Coelho	
Nihil nisi bonum- of the dead speak no evil	Latin phrase	
Primum non nocere- first do no harm	Latin Phrase	
He who establishes his argument by noise and command, shows that his reason is weak.	Michel de Montaigne	
Memory is the treasury and guardian of all things.	Cicero	
On matters of style swim with the current, but on matters of principle, stand like a rock.	Thomas Jefferson	
Great grief does not of itself put an end to itself.	Seneca	
Then imitate the action of a tiger. Stiffen the sinews, summon up the blood.	Shakespeare	
Advice is what we ask for when we already know the answer but wish we didn't.	Jong	
In all things of nature there is something of the marvellous.	Aristotle	
All religions must be tolerated, for every man must get to heaven in his own way.	Epictetus	
The art of dining well is no slight art, the pleasure not a slight pleasure.	Michel de Montaigne	
I measure the strength of a spirit by how much truth it can take.	Friedrich Nietzsche	
A child of five could understand this. Send someone to fetch a child of five.	Groucho Marx	
f you think of the world as a place intended simply for your happiness, you find it quite intolerable.	C.S. Lewis	
I never admire another's fortune so much that I became dissatisfied with my own.	Cicero	
Liberty demands responsibility. That is why most men dread it.	George Bernard Shaw	
If you must play, decide on three things at the start: the rules of the game, the stakes, and the quitting game.	Chinese proverb	
The average man is a conformist, accepting miseries and disasters with the stoicism of a cow standing in the rain.	Colin Wilson	
To be engrossed by something outside ourselves is a powerful antidote for the rational mind, the mind that so frequently has its head up its own ass.	Anne Lamott	
Morality is simply the attitude we adopt toward people we personally dislike.	Oscar Wilde	
There is not enough time to do all the nothing we want to do.	Bill Watterson	
He who is not very strong in memory should not meddle with lying	Michel de Montaigne	
Bear in mind that you should conduct yourself in life as at a feast	Epictetus	
 It is the sign of a great mind to prefer things in measure to things in excess.	Seneca	
Genius is only a superior power of seeing.	John Ruskin	
I not only use all the brains that I have, but all that I can borrow.	Woodrow Wilson	
The system is the solution.	AT&T	
The power of hiding ourselves from one another is mercifully given, for men are wild beasts, and would devour one another but for this protection.	Henry Ward Beecher	
Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.	Malcom X	
I can't go on, I'll go on.	Samuel Beckett	
Nothing has more strength than dire necessity.	Euripides	
A schedule defends from chaos and whim.	Annie Dillard	
In lack of judgement great harm arises.	Aeschylus	
By all means marry. If you find a good wife, you'll be happy; if you find a bad one, you'll become a philosopher.	Socrates	
Money is of a prolific generating nature. Money can beget money and it's offspring can beget more.	Benjamin Franklin	
A common danger unites even the bitterest enemies.	Aristotle	
The one who has knowledge uses his words with restraint, and whoever has understanding is eventempered.	Proverbs 17	
Fools have no pleasure in understanding but delight in airing their own opinions.	Proverbs 18	
Learning to ignore things is one of the best paths to inner peace.	Robert J. Sawyer	
There are many things of which a wise man might choose to be ignorant.	Ralph Waldo Emerson	
Ambition is not a vice of little people.	Michel de Montaigne	
Routine, in an intelligent man, is a sign of ambition	W. H. Auden	
Man is not affected by events, but by the view he takes of them	Epictetus	
Love of bustle is not industry	Seneca	
It is not that we have a short space of time, but that we waste much of it.	Seneca	
Ever tried. Ever failed. No matter. Tri again. Fail again. Fail better.	Samuel Beckett	
The existential vacuum manifests itself mainly in a state of boredom.	Viktor Frankl	
Life is too short to be small.	Benjamin Disraeli	
Unless you pay the price for success you will not know it's worth	Apoorve Dubey	
